metric_id,environment,operation,scale,cache_state,repetitions,p50_ms,p95_ms,p99_ms,coefficient_of_variation,threshold_ms,peak_rss_bytes,peak_rss_threshold_bytes,deterministic_result,passed,evidence_path
import:one-month-15-minute:cold,LOCAL_CORE,import,one-month-15-minute,COLD,10,30.888792,37.896834,37.896834,0.067565,3000,106676224,268435456,True,True,evidence/evaluation/m8-performance-local-core.json
import:one-month-15-minute:warm,LOCAL_CORE,import,one-month-15-minute,WARM,10,29.561375,40.299417,40.299417,0.112195,3000,105119744,268435456,True,True,evidence/evaluation/m8-performance-local-core.json
import:six-month-15-minute:cold,LOCAL_CORE,import,six-month-15-minute,COLD,10,192.013458,219.622458,219.622458,0.060374,,120504320,,True,True,evidence/evaluation/m8-performance-local-core.json
import:six-month-15-minute:warm,LOCAL_CORE,import,six-month-15-minute,WARM,10,189.065167,251.428625,251.428625,0.128592,,107790336,,True,True,evidence/evaluation/m8-performance-local-core.json
import:one-year-15-minute:cold,LOCAL_CORE,import,one-year-15-minute,COLD,10,369.039875,547.050709,547.050709,0.179948,15000,138461184,536870912,True,True,evidence/evaluation/m8-performance-local-core.json
import:one-year-15-minute:warm,LOCAL_CORE,import,one-year-15-minute,WARM,10,521.539375,1098.489208,1098.489208,0.31452,15000,128286720,536870912,True,True,evidence/evaluation/m8-performance-local-core.json
replay:scale-1:cold,LOCAL_CORE,replay,1,COLD,10,12.882041,20.458375,20.458375,0.222806,1000,,,True,True,evidence/evaluation/m8-performance-local-core.json
replay:scale-1:warm,LOCAL_CORE,replay,1,WARM,10,11.292584,28.828208,28.828208,0.394583,1000,,,True,True,evidence/evaluation/m8-performance-local-core.json
comparison:scale-3:cold,LOCAL_CORE,comparison,3,COLD,10,71.94425,87.600458,87.600458,0.098417,3000,,,True,True,evidence/evaluation/m8-performance-local-core.json
comparison:scale-3:warm,LOCAL_CORE,comparison,3,WARM,10,65.786458,71.81375,71.81375,0.038207,3000,,,True,True,evidence/evaluation/m8-performance-local-core.json
comparison:scale-5:cold,LOCAL_CORE,comparison,5,COLD,10,121.924083,156.2215,156.2215,0.092485,3000,,,True,True,evidence/evaluation/m8-performance-local-core.json
comparison:scale-5:warm,LOCAL_CORE,comparison,5,WARM,10,116.521459,128.39625,128.39625,0.043806,3000,,,True,True,evidence/evaluation/m8-performance-local-core.json
report:scale-1:cold,LOCAL_CORE,report,1,COLD,10,5.6775,6.862458,6.862458,0.0712,2000,,,True,True,evidence/evaluation/m8-performance-local-core.json
report:scale-1:warm,LOCAL_CORE,report,1,WARM,10,5.7275,6.981208,6.981208,0.080877,2000,,,True,True,evidence/evaluation/m8-performance-local-core.json
optimization:scale-1:cold,LOCAL_CORE,optimization,1,COLD,10,851.494917,988.163583,988.163583,0.066282,10000,,,True,True,evidence/evaluation/m8-performance-local-core.json
optimization:scale-1:warm,LOCAL_CORE,optimization,1,WARM,10,781.687792,957.999292,957.999292,0.073666,10000,,,True,True,evidence/evaluation/m8-performance-local-core.json
optimization:scale-5:cold,LOCAL_CORE,optimization,5,COLD,10,2373.142959,2467.696458,2467.696458,0.014748,30000,,,True,True,evidence/evaluation/m8-performance-local-core.json
optimization:scale-5:warm,LOCAL_CORE,optimization,5,WARM,10,2290.235041,2568.952041,2568.952041,0.04847,30000,,,True,True,evidence/evaluation/m8-performance-local-core.json
variance-followup:import:one-year-15-minute:warm,LOCAL_CORE_VARIANCE_FOLLOWUP,import,one-year-15-minute,WARM,10,400.006292,427.883084,427.883084,0.050883,15000,137216000,536870912,True,True,evidence/evaluation/m8-performance-variance-followup.json
variance-followup:replay:1:cold,LOCAL_CORE_VARIANCE_FOLLOWUP,replay,1,COLD,10,9.577875,10.137834,10.137834,0.032407,1000,,,True,True,evidence/evaluation/m8-performance-variance-followup.json
variance-followup:replay:1:warm,LOCAL_CORE_VARIANCE_FOLLOWUP,replay,1,WARM,10,8.693167,9.376083,9.376083,0.025954,1000,,,True,True,evidence/evaluation/m8-performance-variance-followup.json
release-api:warm_cached_comparison_get,LOCAL_RELEASE_TOPOLOGY,WARM_CACHED_COMPARISON_GET,concurrency-8,N/A,30,23.2055,64.432167,69.482667,0.534035,1000,,,True,True,evidence/evaluation/m8-release-topology.json
release-api:warm_scenario_get,LOCAL_RELEASE_TOPOLOGY,WARM_SCENARIO_GET,concurrency-8,N/A,30,266.210083,333.020167,337.925958,0.246014,1000,,,True,True,evidence/evaluation/m8-release-topology.json
release-crash:import_worker_recovery,LOCAL_RELEASE_TOPOLOGY,import_worker_recovery,SIGKILL,N/A,10,23107.849833,23589.76125,23589.76125,,30000,,,,True,evidence/evaluation/m8-crash-recovery.json
release-crash:scenario_worker_recovery,LOCAL_RELEASE_TOPOLOGY,scenario_worker_recovery,SIGKILL,N/A,10,25135.394666,27277.055458,27277.055458,,30000,,,,True,evidence/evaluation/m8-crash-recovery.json
